Time, Event, Position, Broken Parts, Spare Parts
1007, Break, 2, 1, 1
1018, Repair, -, 0, 2
1328, Break, 0, 1, 1
1344, Repair, -, 0, 2
1751, Break, 0, 1, 1
1767, Repair, -, 0, 2
1980, Break, 0, 1, 1
1997, Repair, -, 0, 2
4108, Break, 1, 1, 1
4123, Repair, -, 0, 2
4277, Break, 0, 1, 1
4288, Repair, -, 0, 2
6667, Break, 1, 1, 1
6676, Break, 1, 2, 0
6684, Repair, -, 1, 1
6698, Repair, -, 0, 2
7381, Break, 1, 1, 1
7392, Repair, -, 0, 2
7587, Break, 2, 1, 1
7605, Repair, -, 0, 2
8341, Break, 2, 1, 1
8352, Repair, -, 0, 2
8546, Break, 2, 1, 1
8562, Repair, -, 0, 2
10698, Break, 0, 1, 1
10710, Repair, -, 0, 2
12384, Break, 2, 1, 1
12401, Repair, -, 0, 2
13122, Break, 1, 1, 1
13136, Repair, -, 0, 2
15325, Break, 0, 1, 1
15339, Repair, -, 0, 2
16913, Break, 1, 1, 1
16925, Repair, -, 0, 2
17959, Break, 0, 1, 1
17976, Repair, -, 0, 2
19654, Break, 1, 1, 1
19665, Repair, -, 0, 2
20483, Break, 1, 1, 1
20497, Repair, -, 0, 2
20702, Break, 1, 1, 1
20720, Repair, -, 0, 2
21237, Break, 1, 1, 1
21251, Repair, -, 0, 2
22646, Break, 2, 1, 1
22664, Repair, -, 0, 2
23994, Break, 1, 1, 1
24008, Repair, -, 0, 2
25696, Break, 0, 1, 1
25710, Repair, -, 0, 2
26285, Break, 1, 1, 1
26299, Repair, -, 0, 2
26333, Break, 1, 1, 1
26346, Repair, -, 0, 2
26697, Break, 2, 1, 1
26714, Repair, -, 0, 2
30710, Break, 2, 1, 1
30723, Repair, -, 0, 2
31957, Break, 2, 1, 1
31972, Repair, -, 0, 2
32693, Break, 0, 1, 1
32712, Repair, -, 0, 2
35660, Break, 1, 1, 1
35674, Repair, -, 0, 2
37219, Break, 2, 1, 1
37236, Repair, -, 0, 2
40089, Break, 0, 1, 1
40108, Repair, -, 0, 2
41028, Break, 1, 1, 1
41041, Break, 1, 2, 0
41048, Repair, -, 1, 1
41066, Repair, -, 0, 2
41310, Break, 2, 1, 1
41324, Repair, -, 0, 2
41725, Break, 0, 1, 1
41739, Repair, -, 0, 2
42485, Break, 2, 1, 1
42488, Break, 2, 2, 0
42502, Repair, -, 1, 1
42515, Repair, -, 0, 2
42930, Break, 1, 1, 1
42947, Repair, -, 0, 2
43169, Break, 2, 1, 1
43189, Repair, -, 0, 2
47075, Break, 2, 1, 1
47092, Repair, -, 0, 2
47836, Break, 0, 1, 1
47856, Repair, -, 0, 2
47997, Break, 1, 1, 1
48009, Repair, -, 0, 2
49295, Break, 2, 1, 1
49315, Repair, -, 0, 2
51195, Break, 1, 1, 1
51208, Repair, -, 0, 2
51584, Break, 1, 1, 1
51604, Repair, -, 0, 2
53991, Break, 1, 1, 1
54002, Repair, -, 0, 2
54817, Break, 0, 1, 1
54834, Repair, -, 0, 2
56014, Break, 0, 1, 1
56025, Repair, -, 0, 2
56524, Break, 1, 1, 1
56536, Repair, -, 0, 2
56663, Break, 0, 1, 1
56681, Repair, -, 0, 2
56904, Break, 1, 1, 1
56921, Repair, -, 0, 2
57168, Break, 0, 1, 1
57182, Repair, -, 0, 2
58614, Break, 1, 1, 1
58633, Repair, -, 0, 2
58724, Break, 1, 1, 1
58737, Repair, -, 0, 2
60555, Break, 0, 1, 1
60567, Repair, -, 0, 2
60720, Break, 1, 1, 1
60739, Repair, -, 0, 2
61231, Break, 1, 1, 1
61245, Repair, -, 0, 2
61753, Break, 0, 1, 1
61764, Repair, -, 0, 2
62691, Break, 1, 1, 1
62708, Repair, -, 0, 2
67465, Break, 2, 1, 1
67478, Repair, -, 0, 2
67832, Break, 0, 1, 1
67846, Repair, -, 0, 2
69801, Break, 0, 1, 1
69819, Repair, -, 0, 2
70959, Break, 2, 1, 1
70978, Repair, -, 0, 2
71319, Break, 1, 1, 1
71334, Repair, -, 0, 2
72140, Break, 1, 1, 1
72159, Repair, -, 0, 2
74128, Break, 0, 1, 1
74144, Repair, -, 0, 2
75090, Break, 2, 1, 1
75104, Repair, -, 0, 2
75695, Break, 2, 1, 1
75707, Repair, -, 0, 2
76445, Break, 2, 1, 1
76463, Repair, -, 0, 2
76826, Break, 1, 1, 1
76843, Repair, -, 0, 2
76853, Break, 2, 1, 1
76868, Repair, -, 0, 2
81309, Break, 1, 1, 1
81327, Break, 1, 2, 0
81328, Repair, -, 1, 1
81343, Repair, -, 0, 2
83849, Break, 1, 1, 1
83867, Repair, -, 0, 2
86043, Break, 0, 1, 1
86059, Repair, -, 0, 2
86216, Break, 0, 1, 1
86229, Repair, -, 0, 2
88005, Break, 2, 1, 1
88023, Repair, -, 0, 2
88517, Break, 0, 1, 1
88529, Repair, -, 0, 2
90251, Break, 0, 1, 1
90267, Repair, -, 0, 2
92970, Break, 0, 1, 1
92981, Repair, -, 0, 2
96289, Break, 2, 1, 1
96308, Repair, -, 0, 2
97570, Break, 0, 1, 1
97589, Repair, -, 0, 2
98648, Break, 0, 1, 1
98667, Repair, -, 0, 2
98895, Break, 1, 1, 1
98912, Repair, -, 0, 2
101052, Break, 1, 1, 1
101065, Repair, -, 0, 2
103614, Break, 2, 1, 1
103629, Repair, -, 0, 2
106318, Break, 1, 1, 1
106335, Repair, -, 0, 2
107220, Break, 2, 1, 1
107239, Repair, -, 0, 2
108972, Break, 2, 1, 1
108984, Repair, -, 0, 2
109048, Break, 0, 1, 1
109065, Repair, -, 0, 2
109353, Break, 0, 1, 1
109370, Repair, -, 0, 2
109614, Break, 0, 1, 1
109630, Repair, -, 0, 2
110638, Break, 0, 1, 1
110651, Repair, -, 0, 2
110855, Break, 1, 1, 1
110873, Repair, -, 0, 2
111690, Break, 0, 1, 1
111707, Repair, -, 0, 2
112149, Break, 1, 1, 1
112161, Repair, -, 0, 2
112756, Break, 0, 1, 1
112767, Repair, -, 0, 2
113084, Break, 0, 1, 1
113096, Repair, -, 0, 2
114277, Break, 0, 1, 1
114291, Repair, -, 0, 2
114664, Break, 1, 1, 1
114678, Repair, -, 0, 2
120721, Break, 2, 1, 1
120741, Repair, -, 0, 2
121177, Break, 0, 1, 1
121193, Repair, -, 0, 2
122581, Break, 0, 1, 1
122592, Repair, -, 0, 2
122727, Break, 1, 1, 1
122742, Repair, -, 0, 2
123017, Break, 0, 1, 1
123033, Repair, -, 0, 2
123311, Break, 1, 1, 1
123329, Repair, -, 0, 2
125455, Break, 0, 1, 1
125471, Repair, -, 0, 2
125832, Break, 0, 1, 1
125849, Repair, -, 0, 2
126854, Break, 0, 1, 1
126867, Repair, -, 0, 2
127855, Break, 0, 1, 1
127875, Repair, -, 0, 2
129086, Break, 2, 1, 1
129099, Repair, -, 0, 2
133307, Break, 0, 1, 1
133326, Repair, -, 0, 2
134099, Break, 1, 1, 1
134113, Repair, -, 0, 2
136565, Break, 2, 1, 1
136585, Repair, -, 0, 2
137859, Break, 2, 1, 1
137872, Repair, -, 0, 2
139572, Break, 1, 1, 1
139589, Repair, -, 0, 2
144054, Break, 0, 1, 1
144070, Repair, -, 0, 2
146346, Break, 1, 1, 1
146364, Repair, -, 0, 2
147470, Break, 2, 1, 1
147486, Repair, -, 0, 2
148418, Break, 1, 1, 1
148434, Repair, -, 0, 2
150104, Break, 2, 1, 1
150122, Repair, -, 0, 2
151249, Break, 0, 1, 1
151267, Repair, -, 0, 2
151977, Break, 0, 1, 1
151990, Repair, -, 0, 2
154372, Break, 1, 1, 1
154392, Repair, -, 0, 2
157420, Break, 0, 1, 1
157436, Repair, -, 0, 2
157619, Break, 1, 1, 1
157636, Repair, -, 0, 2
162287, Break, 0, 1, 1
162301, Repair, -, 0, 2
162413, Break, 1, 1, 1
162425, Repair, -, 0, 2
164907, Break, 2, 1, 1
164926, Repair, -, 0, 2
169363, Break, 0, 1, 1
169380, Repair, -, 0, 2
169765, Break, 1, 1, 1
169779, Repair, -, 0, 2
171244, Break, 2, 1, 1
171258, Repair, -, 0, 2
171629, Break, 0, 1, 1
171642, Repair, -, 0, 2
172019, Break, 0, 1, 1
172034, Repair, -, 0, 2
173193, Break, 1, 1, 1
173209, Repair, -, 0, 2
175266, Break, 2, 1, 1
175286, Repair, -, 0, 2
176451, Break, 2, 1, 1
176466, Repair, -, 0, 2
180896, Break, 2, 1, 1
180901, Break, 0, 2, 0
180913, Repair, -, 1, 1
180924, Repair, -, 0, 2
181062, Break, 1, 1, 1
181079, Repair, -, 0, 2
181618, Break, 2, 1, 1
181638, Repair, -, 0, 2
187259, Break, 0, 1, 1
187277, Repair, -, 0, 2
187662, Break, 0, 1, 1
187677, Repair, -, 0, 2
188640, Break, 1, 1, 1
188651, Repair, -, 0, 2
190497, Break, 1, 1, 1
190513, Repair, -, 0, 2
191027, Break, 0, 1, 1
191043, Repair, -, 0, 2
191475, Break, 0, 1, 1
191487, Repair, -, 0, 2
196778, Break, 0, 1, 1
196790, Repair, -, 0, 2
197925, Break, 1, 1, 1
197945, Repair, -, 0, 2
198099, Break, 1, 1, 1
198112, Repair, -, 0, 2
198489, Break, 1, 1, 1
198504, Repair, -, 0, 2
198537, Break, 0, 1, 1
198553, Repair, -, 0, 2
201570, Break, 1, 1, 1
201587, Repair, -, 0, 2
201826, Break, 0, 1, 1
201845, Repair, -, 0, 2
202200, Break, 2, 1, 1
202212, Repair, -, 0, 2
202924, Break, 1, 1, 1
202938, Repair, -, 0, 2
203708, Break, 1, 1, 1
203723, Repair, -, 0, 2
206259, Break, 2, 1, 1
206277, Repair, -, 0, 2
207828, Break, 0, 1, 1
207846, Repair, -, 0, 2
208128, Break, 2, 1, 1
208146, Repair, -, 0, 2
209357, Break, 1, 1, 1
209371, Repair, -, 0, 2
211357, Break, 1, 1, 1
211377, Repair, -, 0, 2
211460, Break, 0, 1, 1
211480, Repair, -, 0, 2
212061, Break, 2, 1, 1
212080, Repair, -, 0, 2
216087, Break, 1, 1, 1
216104, Repair, -, 0, 2
220512, Break, 1, 1, 1
220517, Break, 1, 2, 0
220525, Repair, -, 1, 1
220540, Repair, -, 0, 2
223789, Break, 0, 1, 1
223806, Repair, -, 0, 2
