Time, Event, Position, Broken Parts, Spare Parts
852, Break, 0, 1, 1
863, Repair, -, 0, 2
3802, Break, 2, 1, 1
3821, Repair, -, 0, 2
7948, Break, 0, 1, 1
7960, Repair, -, 0, 2
8507, Break, 0, 1, 1
8519, Repair, -, 0, 2
9616, Break, 0, 1, 1
9632, Repair, -, 0, 2
10235, Break, 0, 1, 1
10248, Repair, -, 0, 2
10768, Break, 2, 1, 1
10787, Repair, -, 0, 2
11147, Break, 0, 1, 1
11165, Repair, -, 0, 2
12091, Break, 0, 1, 1
12108, Repair, -, 0, 2
12447, Break, 0, 1, 1
12465, Repair, -, 0, 2
13534, Break, 0, 1, 1
13546, Repair, -, 0, 2
13623, Break, 0, 1, 1
13639, Repair, -, 0, 2
14319, Break, 2, 1, 1
14330, Repair, -, 0, 2
18486, Break, 0, 1, 1
18500, Repair, -, 0, 2
20676, Break, 0, 1, 1
20692, Repair, -, 0, 2
21129, Break, 1, 1, 1
21148, Repair, -, 0, 2
21785, Break, 0, 1, 1
21805, Repair, -, 0, 2
25956, Break, 2, 1, 1
25976, Repair, -, 0, 2
26117, Break, 0, 1, 1
26132, Repair, -, 0, 2
26694, Break, 1, 1, 1
26713, Repair, -, 0, 2
26995, Break, 2, 1, 1
27006, Repair, -, 0, 2
32852, Break, 1, 1, 1
32868, Repair, -, 0, 2
33772, Break, 2, 1, 1
33790, Repair, -, 0, 2
35668, Break, 1, 1, 1
35685, Repair, -, 0, 2
36112, Break, 2, 1, 1
36125, Repair, -, 0, 2
38082, Break, 2, 1, 1
38094, Repair, -, 0, 2
39956, Break, 1, 1, 1
39973, Repair, -, 0, 2
40462, Break, 1, 1, 1
40482, Repair, -, 0, 2
42613, Break, 0, 1, 1
42628, Repair, -, 0, 2
46080, Break, 1, 1, 1
46097, Repair, -, 0, 2
46942, Break, 0, 1, 1
46961, Repair, -, 0, 2
51959, Break, 1, 1, 1
51977, Repair, -, 0, 2
53120, Break, 0, 1, 1
53139, Repair, -, 0, 2
53517, Break, 1, 1, 1
53532, Repair, -, 0, 2
55489, Break, 0, 1, 1
55501, Repair, -, 0, 2
56027, Break, 1, 1, 1
56045, Repair, -, 0, 2
58105, Break, 2, 1, 1
58117, Repair, -, 0, 2
59311, Break, 0, 1, 1
59322, Repair, -, 0, 2
59719, Break, 2, 1, 1
59737, Repair, -, 0, 2
62147, Break, 0, 1, 1
62165, Repair, -, 0, 2
64585, Break, 1, 1, 1
64603, Repair, -, 0, 2
65358, Break, 2, 1, 1
65376, Repair, -, 0, 2
68605, Break, 2, 1, 1
68622, Repair, -, 0, 2
69192, Break, 0, 1, 1
69210, Repair, -, 0, 2
71954, Break, 1, 1, 1
71967, Repair, -, 0, 2
72579, Break, 2, 1, 1
72592, Repair, -, 0, 2
74786, Break, 1, 1, 1
74797, Repair, -, 0, 2
76836, Break, 0, 1, 1
76856, Repair, -, 0, 2
77651, Break, 2, 1, 1
77666, Repair, -, 0, 2
78875, Break, 1, 1, 1
78892, Repair, -, 0, 2
80236, Break, 1, 1, 1
80250, Repair, -, 0, 2
83516, Break, 1, 1, 1
83535, Repair, -, 0, 2
84454, Break, 1, 1, 1
84469, Repair, -, 0, 2
85143, Break, 0, 1, 1
85163, Repair, -, 0, 2
87253, Break, 1, 1, 1
87270, Repair, -, 0, 2
88113, Break, 2, 1, 1
88124, Repair, -, 0, 2
89518, Break, 2, 1, 1
89535, Repair, -, 0, 2
91010, Break, 2, 1, 1
91025, Repair, -, 0, 2
96083, Break, 0, 1, 1
96094, Repair, -, 0, 2
97662, Break, 1, 1, 1
97680, Repair, -, 0, 2
99634, Break, 2, 1, 1
99654, Repair, -, 0, 2
100549, Break, 2, 1, 1
100569, Repair, -, 0, 2
101115, Break, 1, 1, 1
101130, Repair, -, 0, 2
103916, Break, 1, 1, 1
103935, Repair, -, 0, 2
104262, Break, 2, 1, 1
104278, Repair, -, 0, 2
104796, Break, 0, 1, 1
104816, Repair, -, 0, 2
108314, Break, 0, 1, 1
108325, Repair, -, 0, 2
108954, Break, 1, 1, 1
108966, Repair, -, 0, 2
109374, Break, 2, 1, 1
109387, Repair, -, 0, 2
111641, Break, 2, 1, 1
111660, Repair, -, 0, 2
112392, Break, 0, 1, 1
112404, Repair, -, 0, 2
112463, Break, 2, 1, 1
112477, Repair, -, 0, 2
113826, Break, 2, 1, 1
113846, Repair, -, 0, 2
114037, Break, 1, 1, 1
114053, Repair, -, 0, 2
114401, Break, 0, 1, 1
114420, Repair, -, 0, 2
114540, Break, 1, 1, 1
114555, Repair, -, 0, 2
114713, Break, 0, 1, 1
114731, Repair, -, 0, 2
115691, Break, 2, 1, 1
115703, Repair, -, 0, 2
115718, Break, 0, 1, 1
115734, Repair, -, 0, 2
115847, Break, 0, 1, 1
115859, Repair, -, 0, 2
117264, Break, 2, 1, 1
117276, Repair, -, 0, 2
117291, Break, 0, 1, 1
117304, Repair, -, 0, 2
121742, Break, 2, 1, 1
121762, Repair, -, 0, 2
125824, Break, 1, 1, 1
125839, Repair, -, 0, 2
126756, Break, 1, 1, 1
126769, Repair, -, 0, 2
129022, Break, 0, 1, 1
129039, Repair, -, 0, 2
129240, Break, 0, 1, 1
129255, Repair, -, 0, 2
132110, Break, 0, 1, 1
132125, Repair, -, 0, 2
143823, Break, 1, 1, 1
143840, Repair, -, 0, 2
144050, Break, 1, 1, 1
144062, Repair, -, 0, 2
144411, Break, 2, 1, 1
144428, Repair, -, 0, 2
145857, Break, 1, 1, 1
145874, Repair, -, 0, 2
148535, Break, 1, 1, 1
148554, Repair, -, 0, 2
150281, Break, 1, 1, 1
150301, Repair, -, 0, 2
153009, Break, 2, 1, 1
153027, Repair, -, 0, 2
155245, Break, 2, 1, 1
155262, Repair, -, 0, 2
155475, Break, 1, 1, 1
155492, Repair, -, 0, 2
155873, Break, 2, 1, 1
155888, Repair, -, 0, 2
157606, Break, 2, 1, 1
157617, Repair, -, 0, 2
158153, Break, 1, 1, 1
158168, Repair, -, 0, 2
160601, Break, 2, 1, 1
160620, Repair, -, 0, 2
161388, Break, 2, 1, 1
161408, Repair, -, 0, 2
161676, Break, 2, 1, 1
161688, Repair, -, 0, 2
164519, Break, 1, 1, 1
164534, Repair, -, 0, 2
165951, Break, 0, 1, 1
165962, Repair, -, 0, 2
167788, Break, 1, 1, 1
167804, Repair, -, 0, 2
168090, Break, 2, 1, 1
168109, Repair, -, 0, 2
168565, Break, 0, 1, 1
168585, Repair, -, 0, 2
170181, Break, 2, 1, 1
170193, Repair, -, 0, 2
171311, Break, 1, 1, 1
171323, Repair, -, 0, 2
171744, Break, 1, 1, 1
171761, Repair, -, 0, 2
172242, Break, 0, 1, 1
172260, Repair, -, 0, 2
173474, Break, 0, 1, 1
173490, Repair, -, 0, 2
175380, Break, 2, 1, 1
175397, Repair, -, 0, 2
176022, Break, 2, 1, 1
176042, Repair, -, 0, 2
177757, Break, 2, 1, 1
177776, Repair, -, 0, 2
182667, Break, 2, 1, 1
182681, Repair, -, 0, 2
182808, Break, 1, 1, 1
182820, Repair, -, 0, 2
183790, Break, 2, 1, 1
183810, Repair, -, 0, 2
184676, Break, 1, 1, 1
184689, Repair, -, 0, 2
187156, Break, 2, 1, 1
187171, Repair, -, 0, 2
188719, Break, 2, 1, 1
188735, Repair, -, 0, 2
188761, Break, 1, 1, 1
188772, Repair, -, 0, 2
190252, Break, 1, 1, 1
190269, Repair, -, 0, 2
190631, Break, 1, 1, 1
190647, Repair, -, 0, 2
191923, Break, 1, 1, 1
191935, Repair, -, 0, 2
192751, Break, 0, 1, 1
192764, Repair, -, 0, 2
193217, Break, 0, 1, 1
193230, Repair, -, 0, 2
193271, Break, 0, 1, 1
193285, Repair, -, 0, 2
195619, Break, 0, 1, 1
195637, Repair, -, 0, 2
195815, Break, 1, 1, 1
195826, Break, 1, 2, 0
195826, Repair, -, 1, 1
195845, Repair, -, 0, 2
197147, Break, 2, 1, 1
197160, Repair, -, 0, 2
199859, Break, 2, 1, 1
199879, Repair, -, 0, 2
200653, Break, 0, 1, 1
200667, Repair, -, 0, 2
200730, Break, 1, 1, 1
200741, Repair, -, 0, 2
201131, Break, 0, 1, 1
201150, Repair, -, 0, 2
201734, Break, 1, 1, 1
201752, Repair, -, 0, 2
202388, Break, 0, 1, 1
202402, Repair, -, 0, 2
202505, Break, 0, 1, 1
202518, Repair, -, 0, 2
203646, Break, 0, 1, 1
203657, Repair, -, 0, 2
204720, Break, 2, 1, 1
204739, Repair, -, 0, 2
206248, Break, 2, 1, 1
206262, Repair, -, 0, 2
210809, Break, 1, 1, 1
210827, Repair, -, 0, 2
210903, Break, 2, 1, 1
210917, Repair, -, 0, 2
212608, Break, 1, 1, 1
212620, Repair, -, 0, 2
213148, Break, 0, 1, 1
213161, Repair, -, 0, 2
214459, Break, 1, 1, 1
214471, Repair, -, 0, 2
215753, Break, 0, 1, 1
215768, Repair, -, 0, 2
219300, Break, 1, 1, 1
219314, Repair, -, 0, 2
220320, Break, 2, 1, 1
220331, Repair, -, 0, 2
220852, Break, 0, 1, 1
220865, Repair, -, 0, 2
222020, Break, 2, 1, 1
222038, Repair, -, 0, 2
222467, Break, 0, 1, 1
222483, Repair, -, 0, 2
224073, Break, 1, 1, 1
224089, Repair, -, 0, 2
228576, Break, 1, 1, 1
228594, Repair, -, 0, 2
230115, Break, 2, 1, 1
230130, Repair, -, 0, 2
230380, Break, 2, 1, 1
230395, Repair, -, 0, 2
230462, Break, 0, 1, 1
230477, Repair, -, 0, 2
230634, Break, 1, 1, 1
230647, Repair, -, 0, 2
231955, Break, 1, 1, 1
231970, Repair, -, 0, 2
236357, Break, 1, 1, 1
236375, Repair, -, 0, 2
236555, Break, 1, 1, 1
236573, Repair, -, 0, 2
238742, Break, 1, 1, 1
238760, Repair, -, 0, 2
238796, Break, 2, 1, 1
238811, Repair, -, 0, 2
242789, Break, 2, 1, 1
242805, Repair, -, 0, 2
242900, Break, 2, 1, 1
242911, Repair, -, 0, 2
243939, Break, 2, 1, 1
243950, Repair, -, 0, 2
244725, Break, 1, 1, 1
244736, Repair, -, 0, 2
245718, Break, 1, 1, 1
245730, Repair, -, 0, 2
246653, Break, 0, 1, 1
246671, Repair, -, 0, 2
246956, Break, 0, 1, 1
246967, Repair, -, 0, 2
248033, Break, 0, 1, 1
248051, Repair, -, 0, 2
249394, Break, 2, 1, 1
249412, Repair, -, 0, 2
249498, Break, 0, 1, 1
249514, Repair, -, 0, 2
251323, Break, 0, 1, 1
251334, Repair, -, 0, 2
251913, Break, 1, 1, 1
251926, Repair, -, 0, 2
256446, Break, 2, 1, 1
256464, Repair, -, 0, 2
257350, Break, 0, 1, 1
257365, Repair, -, 0, 2
259119, Break, 2, 1, 1
259139, Repair, -, 0, 2
259755, Break, 1, 1, 1
259774, Repair, -, 0, 2
259906, Break, 1, 1, 1
259919, Repair, -, 0, 2
260322, Break, 1, 1, 1
260335, Repair, -, 0, 2
260853, Break, 2, 1, 1
260869, Repair, -, 0, 2
261460, Break, 0, 1, 1
261480, Repair, -, 0, 2
262614, Break, 2, 1, 1
262629, Repair, -, 0, 2
264461, Break, 1, 1, 1
264474, Repair, -, 0, 2
265407, Break, 2, 1, 1
265422, Repair, -, 0, 2
266044, Break, 1, 1, 1
266058, Repair, -, 0, 2
269989, Break, 0, 1, 1
270001, Repair, -, 0, 2
270788, Break, 2, 1, 1
270801, Repair, -, 0, 2
271216, Break, 2, 1, 1
271227, Repair, -, 0, 2
272030, Break, 2, 1, 1
272046, Repair, -, 0, 2
272239, Break, 0, 1, 1
272250, Repair, -, 0, 2
272540, Break, 0, 1, 1
272558, Repair, -, 0, 2
272767, Break, 2, 1, 1
272780, Repair, -, 0, 2
275883, Break, 0, 1, 1
275902, Repair, -, 0, 2
276131, Break, 1, 1, 1
276147, Repair, -, 0, 2
278113, Break, 1, 1, 1
278128, Repair, -, 0, 2
278471, Break, 0, 1, 1
